,Rating,Turns,Won
0,1000.0,19,True
1,1040.0,21,True
2,1075.0,25,False
3,1053.0,24,False
4,1037.0,1,True
5,1068.0,17,False
6,1049.0,3,True
7,1080.0,19,False
8,1058.0,18,True
9,1088.0,37,False
10,1065.0,21,False
11,1046.0,19,True
12,1075.0,7,True
13,1101.0,9,True
14,1127.0,14,True
15,1154.0,7,True
16,1179.0,4,True
17,1154,18,False
18,1179.0,20,True
19,1204.0,14,False
20,1182.0,25,False
21,1154.0,16,True
22,1176.0,22,False
23,1149.0,24,True
24,1175.0,33,True
25,1203.0,17,True
26,1226.0,24,False
27,1198.0,19,False
28,1173.0,20,True
29,1199.0,30,False
30,1173.0,30,True
31,1199.0,30,True
32,1220.0,16,False
33,1196.0,20,True
34,1224.0,10,True
35,1246.0,21,True
36,1269.0,21,True
37,1294.0,9,True
38,1317.0,23,False
39,1294,12,False
40,1271.0,20,False
41,1246.0,17,False
42,1222.0,21,False
43,1198,13,True
44,1225.0,33,False
45,1201.0,1,True
46,1228.0,10,True
47,1256.0,17,False
48,1228.0,17,False
49,1206.0,16,True
