,Rating,Turns,Won
0,1000.0,18,False
1,1037,21,True
2,1074.0,24,True
3,1102.0,20,False
4,1076.0,27,True
5,1105.0,8,True
6,1127.0,19,False
7,1105.0,5,True
8,1129.0,23,True
9,1152.0,19,True
10,1175.0,21,True
11,1202,17,True
12,1229.0,15,True
13,1250.0,23,False
14,1219,3,True
15,1246.0,17,False
16,1218,14,False
17,1190.0,11,False
18,1164.0,26,False
19,1144.0,26,False
20,1118.0,19,False
21,1095.0,17,False
22,1070.0,15,True
23,1097.0,13,True
24,1124.0,19,True
25,1149.0,7,True
26,1171.0,1,True
27,1194.0,26,False
28,1169.0,25,False
29,1143.0,24,False
30,1118.0,37,False
31,1095.0,13,True
32,1119.0,20,False
33,1091.0,5,True
34,1120.0,22,False
35,1099.0,16,True
36,1126.0,21,False
37,1099.0,12,True
38,1125.0,25,True
39,1148.0,33,False
40,1120.0,17,False
41,1096.0,27,False
42,1075.0,33,False
43,1052.0,18,False
44,1033.0,9,False
45,1021.0,31,False
46,1010.0,10,True
47,1046.0,18,False
48,1027.0,21,True
49,1062.0,23,False
50,1042.0,1,True
